Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-05-25;RSD;94.9184947262;95.4263198978;94.3953149145;95.1396862502;95.6960751307;94.6410817034;90.9330922242;94.2368421053;89.3632877626;96.1005728432;98.8574040219;2021-05-25 00:00:00-RSD
2021-08-02;NETZ;94.1880738795;91.8563713245;95.6465051754;95.0322953178;93.0469885686;96.1547786013;92.4318666517;90.7943103962;92.7224894927;97.3874023043;98.9847985543;2021-08-02 00:00:00-NETZ
2021-12-06;ROT;95.8986787621;92.1442732768;97.1881179991;96.5135917317;92.6148311131;97.6797741094;94.6939091125;93.4368061486;94.8226088477;97.4388868227;99.2183296044;2021-12-06 00:00:00-ROT
2021-12-07;RWT;82.3694071021;80.7494706353;84.4637773841;84.6195550555;83.5998011041;85.852915786;82.5431773412;84.0121074083;82.1238707911;96.9862792215;98.2689747004;2021-12-07 00:00:00-RWT
2021-12-08;RME;78.9087687823;74.3276988914;83.5535915509;79.9598047039;75.7391229756;83.8550130459;81.5061099796;80.1904294134;81.7976923555;93.1306697475;97.3461029957;2021-12-08 00:00:00-RME
2021-12-08;ROT;86.2463100047;79.7874517199;88.4591841297;87.2007439355;81.1283073523;89.009409841;86.9289491077;86.7706422018;86.9450301424;95.06469905;98.5050378372;2021-12-08 00:00:00-ROT
2021-12-09;RWT;87.9947713371;86.5572904494;89.8801146636;90.0331493804;89.135623946;91.1424749936;86.413448735;85.4961959106;86.6782551994;97.1106179034;98.1348511384;2021-12-09 00:00:00-RWT
2021-08-11;RSD;90.4765486334;90.6117364468;90.3442480146;91.2923264402;91.0368541634;91.5114549403;87.8111111111;88.7057026477;87.3757846052;97.4515069502;98.2224247949;2021-08-11 00:00:00-RSD
2021-11-18;ROT;96.8380917221;93.9022240609;97.8440432718;97.2630537431;94.7422197897;98.0112665299;95.2734100352;94.6934015927;95.3333333333;98.070299022;99.345895173;2021-11-18 00:00:00-ROT
2021-11-19;ROT;92.3018210998;86.3185823389;94.3546427324;92.9718631096;87.0888263027;94.7298904607;92.6836300824;90.4863945578;92.9109436397;96.4126062017;98.8827446112;2021-11-19 00:00:00-ROT
2021-11-19;RSD;84.9123567627;82.6624295373;87.2322797442;85.8492971538;83.1957861574;88.2510998122;86.0845755023;84.1153846154;87.0605815832;93.4711768508;95.332452664;2021-11-19 00:00:00-RSD
2021-11-20;NETZ;92.6914160884;87.7307804738;96.4991664636;94.0622623748;89.0884692505;97.2469195867;93.0572790133;90.4004946174;93.5655089887;97.4921249127;98.9021173451;2021-11-20 00:00:00-NETZ
2021-11-20;RSD;94.7837596193;93.1231669087;96.8474603164;95.4392024416;93.5952036766;97.1601479924;94.4391415759;95.701702685;93.8282636248;94.7217222347;98.1036077706;2021-11-20 00:00:00-RSD
2021-06-15;ROT;93.540848885;88.7379187824;95.1746159351;94.3758192229;89.8713963601;95.7140649386;94.0004534059;92.2199770708;94.1831348331;96.0125624511;98.7082088491;2021-06-15 00:00:00-ROT
2021-06-15;RWT;87.7901506398;86.8795432944;88.9636900608;88.8717300793;87.8716627575;90.1008450983;86.2078484364;88.6626854413;85.5180867599;96.5550706629;98.1203007519;2021-06-15 00:00:00-RWT
