Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-05-25,RSD,94.9184947262,95.4263198978,94.3953149145,95.1396862502,95.6960751307,94.6410817034
2021-08-02,NETZ,94.1880738795,91.8563713245,95.6465051754,95.0322953178,93.0469885686,96.1547786013
2021-12-06,ROT,95.8986787621,92.1442732768,97.1881179991,96.5135917317,92.6148311131,97.6797741094
2021-12-07,RWT,82.3694071021,80.7494706353,84.4637773841,84.6195550555,83.5998011041,85.852915786
2021-12-08,RME,78.9087687823,74.3276988914,83.5535915509,79.9598047039,75.7391229756,83.8550130459
2021-12-08,ROT,86.2463100047,79.7874517199,88.4591841297,87.2007439355,81.1283073523,89.009409841
2021-12-09,RWT,87.9947713371,86.5572904494,89.8801146636,90.0331493804,89.135623946,91.1424749936
2021-08-11,RSD,90.4765486334,90.6117364468,90.3442480146,91.2923264402,91.0368541634,91.5114549403
2021-11-18,ROT,96.8380917221,93.9022240609,97.8440432718,97.2630537431,94.7422197897,98.0112665299
2021-11-19,ROT,92.3018210998,86.3185823389,94.3546427324,92.9718631096,87.0888263027,94.7298904607
2021-11-19,RSD,84.9123567627,82.6624295373,87.2322797442,85.8492971538,83.1957861574,88.2510998122
2021-11-20,NETZ,92.6914160884,87.7307804738,96.4991664636,94.0622623748,89.0884692505,97.2469195867
2021-11-20,RSD,94.7837596193,93.1231669087,96.8474603164,95.4392024416,93.5952036766,97.1601479924
2021-06-15,ROT,93.540848885,88.7379187824,95.1746159351,94.3758192229,89.8713963601,95.7140649386
2021-06-15,RWT,87.7901506398,86.8795432944,88.9636900608,88.8717300793,87.8716627575,90.1008450983
2021-06-16,RME,93.5023230625,92.1432536997,94.8625916015,94.1976836764,92.9469282868,95.3457599572
2021-06-16,ROT,96.7191374463,93.3668808329,97.862077264,97.0752430717,93.9889768171,97.9893086878
2021-06-16,RWT,88.834227649,88.5221074713,89.2367442542,89.8802596144,89.6926744778,90.1113209605
2020-12-27,RWT,96.5021392775,95.599979919,98.0635293334,97.8660183308,97.7647567697,98.0218063183
2021-03-25,RWT,91.1627657413,91.2599652799,91.032284315,91.5629382162,91.8266557153,91.2260633783
2021-09-01,NETZ,92.4192707077,89.7187077873,93.998562285,93.1013012415,90.7827149741,94.3223598951
2021-09-04,RSD,79.7239031959,79.3726081096,80.112728943,86.4052925474,82.2809975291,90.1872599325
2021-09-05,RME,94.026963302,92.1403665167,96.4150086012,94.4310075256,92.7385017268,96.2550411202
2021-09-05,ROT,97.396572569,95.0091601581,98.4736172823,98.0436642086,95.7804161196,98.882710336
2021-09-05,RSD,89.0993244089,87.6025958562,90.8770587336,92.9797887089,90.2751004457,95.5028238454
2021-09-06,RME,91.1999177328,89.0017457968,93.3764160007,91.7597345253,89.3025222351,93.996093724
2021-09-06,RSD,93.290269178,92.2689606344,94.3433006336,93.6537274954,92.6271600367,94.5788711125
2021-06-23,RSD,83.394463932,81.4556282241,85.3595407564,84.5341391994,81.8097392733,86.9660790089
2021-06-26,NETZ,95.6711091973,93.148695836,97.6663085881,96.5128099778,94.2525459645,98.0184679678
2021-06-26,RWT,92.1990089479,91.9034667463,92.6868028283,93.3983794281,92.4758504673,94.8039328796
2021-06-27,RME,95.1090328467,93.5665400152,97.0997014016,95.6538458008,94.292756937,97.1439186644
2021-01-17,RSD,94.4228092678,95.8194309306,92.9913606316,96.5836605831,96.8025564567,96.402499523
2021-07-26,NETZ,92.4978849989,89.3322343133,94.4708850709,93.3660756396,90.6196373015,94.9128606337
2021-07-26,RSD,87.2484102884,82.1349368721,92.4572561331,88.4931375153,83.2325743744,93.1728329171
2021-07-27,NETZ,93.5767955076,89.5340220411,96.0966921236,94.3185778772,90.5485805875,96.4342338841
2021-07-27,RWT,91.2773398063,89.2644073811,94.1437073434,91.9419127261,90.3037796245,94.1666009291
2021-07-28,NETZ,94.1735618446,89.5151387807,97.0943854195,94.7272888051,90.2238761447,97.2806403662
2021-07-28,RME,93.6946811819,90.706619799,96.7035416541,94.3182805774,91.4828411114,96.9228392708
2021-07-31,ROT,97.202756511,94.211733393,98.5556484837,97.7300013695,94.5166596602,98.9272346434
2021-08-01,RSD,88.5058357274,86.2443128637,91.2244307296,90.2699655915,86.7419038237,93.4859766011
2021-08-01,RWT,93.8775522903,92.7336701352,95.575233196,95.1260231513,93.4707976817,97.333244912
2021-10-21,RME,83.4784891588,81.1769730709,85.8126354523,84.5631641814,82.5032627039,86.4483715192
2021-10-23,NETZ,92.5875559801,88.4723787123,95.5629438293,93.8192968774,89.9101164521,96.1766891185
2021-10-23,RWT,90.5131656885,87.6640388127,94.1467509985,91.9775233488,88.645953943,95.7287080971
2021-07-16,ROT,91.3227241475,91.8917252972,91.1282198385,92.9376692352,92.9622545529,92.9302576002
2021-07-18,ROT,94.597658272,91.5026164879,96.0390243705,95.6697546824,92.8412230117,96.7529194298
2021-07-21,RSD,84.7579830412,88.4095643005,81.5115866669,87.3332860151,88.5358637682,86.3791295124
2021-07-22,RSD,93.6749682648,92.5762216425,94.7953272467,94.6831830203,93.897895815,95.3787211335
2021-01-28,RME,86.7707776545,83.0936595347,90.4339001913,88.4190941025,85.669690631,90.88528896
2021-01-29,NETZ,89.8359459927,85.6455186428,92.471640419,91.1533739177,87.8503720121,93.0110822763
2021-11-03,NETZ,85.1880296595,80.0085787194,88.4216166703,86.0481513468,80.8511778546,88.9800652784
2021-11-03,RSD,90.5009018883,90.3598042705,90.6465166622,90.2954642149,89.4602731924,91.0498820722
2021-11-05,RWT,86.6866784295,86.0814623168,87.4885338085,88.1678478593,87.8437238804,88.5763247084
2021-11-06,NETZ,94.9141091552,91.1361626267,97.7548959751,95.9302733972,92.2521697966,98.2318890336
2021-11-06,RSD,90.6405083188,90.1677273193,91.2185448259,91.476204417,90.4034600671,92.467141819
2021-11-06,RWT,88.5381581102,83.6785875824,94.9312922481,90.1014114004,85.6465191175,95.2856277359
2021-03-13,NETZ,93.6152900674,90.7321997556,95.8883601324,96.2989913705,94.0432252485,97.786167497
2021-03-13,RME,94.5616501467,93.0580964635,96.4871128862,95.2344034115,93.6009476138,97.0391364916
2021-03-13,ROT,97.6234478515,95.9107852682,98.3788224016,98.2263118744,96.2805412311,98.9340819029
2021-03-14,NETZ,94.6714386874,91.8038923981,96.9448686244,97.4575346408,95.6662735746,98.6356449816
2021-03-14,ROT,98.2445574912,96.2109144193,99.1420706874,98.618522577,96.5825513284,99.3584805788
2021-03-14,RSD,97.5771491308,96.8510101396,98.3806276108,97.6083916016,96.919659966,98.2020274029
2021-03-14,RWT,80.6320568813,79.1513329999,83.1138559825,93.713236746,92.8325285669,95.0272403607
2021-03-15,RSD,95.7390925518,94.5709929229,96.7837375579,95.8451780311,94.9398110596,96.5463998549
2021-03-15,RWT,81.470700604,79.562331226,84.024264063,82.4311340117,80.3742020376,85.0578149806
2021-10-14,NETZ,89.605714232,83.8548325663,93.1770808174,90.6085640576,84.7839714922,93.8940322338
2021-10-15,RSD,84.3699250326,80.7803140465,88.0459923329,85.8971391949,82.1751107965,89.2418758276
2021-10-18,NETZ,91.2497714308,85.8392512108,94.49912101,92.1565429016,86.9820066883,94.9279818617
2021-03-23,ROT,93.7680274646,89.6530071999,95.1743012541,94.2905157784,90.1731580328,95.5152368188
2021-03-24,RWT,92.5759789448,92.6473692289,92.4800033512,92.9920279137,93.1885081181,92.7408731521
2021-12-10,RME,75.0872432151536,68.6823277801809,81.6066984976858,76.8319572099237,71.1502071533502,82.0428522019591
2021-12-11,RSD,93.705828781846,92.2873557513952,95.4775756252335,95.2039355701344,93.1845615265604,97.1093630335494
2021-12-11,RWT,87.2502699106693,86.6953549460256,88.1511959231155,91.8610764731008,90.7955177813733,93.4500640502754
2021-11-30,RME,80.9839541731,76.8554495956,85.1922386293,81.9512390597,78.4482033369,85.1960243048
2021-11-30,ROT,85.4366494681,80.3620037461,87.1669680675,86.4215539878,81.6404282569,87.8412756816
2021-11-30,RWT,81.5985815333,81.2299003341,82.0890585344,82.9912173913,82.8196417294,83.2084612273
2021-12-01,RSD,92.9606021488,91.3500024161,94.6321747507,93.0581468899,91.3001299423,94.6471258347
2021-12-03,NETZ,93.0002796158,91.1291742762,94.1791557627,93.8641508578,92.4300517714,94.6797778614
2021-12-03,RME,91.8799843373,90.961263752,92.8212060074,92.787333838,92.5201878401,93.0353042419
2021-12-03,ROT,95.0874665058,92.7743688807,95.8748983253,95.9431949028,93.8429913442,96.5651125164
2021-12-04,NETZ,93.6621182812,90.5469664256,96.1241431563,95.0406849354,91.8987135949,97.1463118663
2021-12-04,RME,93.4287652095,90.485909302,97.2811100984,94.6413705416,92.1672718191,97.3840413985
2021-06-28,NETZ,90.3558499821,86.8782570084,92.5348794877,91.7941906329,88.4081053797,93.7210119274
2021-06-28,RSD,92.0199976707,89.4478121333,94.6171109741,92.5168534645,88.8477539483,95.7665574398
2021-06-30,NETZ,93.1525391034,89.6556240548,95.3302616204,93.887465528,90.9033434676,95.5623541101
2021-07-02,RME,94.459147817,92.9332757904,95.9746416575,94.9065014604,93.7562572288,95.9504798871
2021-07-02,ROT,94.3438228365,92.4235846233,94.9889566462,95.1691712738,92.9044289623,95.8336311119
2021-07-02,RWT,91.7086745958,91.1433137293,92.4416891402,92.9060292324,92.5163036916,93.3882624909
