Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2020-12-26,NETZ,97.8836852993,97.179317119,98.442385939,98.3275429685,97.8500263341,98.6475305653
2020-12-27,NETZ,97.8634742129,96.7252670925,98.7664875513,98.4992238523,97.6948145796,99.0377471857
2020-12-28,NETZ,95.6169658997,94.1541045312,96.5281046565,96.3304538214,94.6636254095,97.2755749665
2020-12-29,NETZ,97.0460980962,95.7407187172,97.8579588771,97.6618977767,96.7026264939,98.2010368981
2020-12-30,NETZ,97.9369780973,97.0959245937,98.4589751402,98.2190998514,97.4669240932,98.6421241873
2020-12-31,NETZ,95.46761641,93.876000163,96.4509124751,96.3422865966,95.3628427194,96.8875337613
2021-01-01,NETZ,97.6367467327,96.2842116114,98.7091557174,98.4074794321,97.4513928457,99.0458188084
2021-01-02,NETZ,98.549301179,97.438307811,99.4297766847,98.9833232729,98.2132637372,99.4982922947
2021-01-03,NETZ,98.3779265264,97.7352302729,98.8886354726,98.5404135291,98.0219149787,98.8887980679
2021-01-04,NETZ,96.0296447511,94.4262842012,97.0393759877,96.6551441138,95.3241951979,97.4136021246
2021-01-05,NETZ,97.3211462107,95.7613131285,98.301024222,97.6343191805,96.2275988513,98.4345621021
2021-01-06,NETZ,95.5104690294,94.6229723606,96.0693796233,95.943655759,95.1336710826,96.4069436501
2021-01-07,NETZ,95.6502372414,95.7093802221,95.6128256831,96.1511977897,96.0364910979,96.2174216966
2021-01-08,NETZ,95.5169214294,93.0859506578,97.0377251827,96.0716397176,93.7630066068,97.3801543562
2021-01-09,NETZ,96.6586516943,95.094295406,97.9049012573,97.9025996279,96.65863407,98.740446638
2021-01-10,NETZ,97.6416087133,96.6073231332,98.462862088,98.2767127603,97.1313562453,99.0499210779
2021-01-11,NETZ,95.663070128,93.9949764537,96.7111048173,96.2347745579,94.7034875377,97.1066595143
2021-01-12,NETZ,88.9070430035,84.5740618545,91.6039495472,89.645495653,85.5195142257,91.9765335979
2021-01-13,NETZ,91.6719369222,89.9162499726,92.7713545237,92.1210359207,90.0890814416,93.2830241995
2021-01-14,NETZ,77.9604506975,78.2497926579,77.7792093239,78.9341190781,79.6031923907,78.551923098
2021-01-15,NETZ,54.1253839849,54.0275646478,54.1903984374,55.5305838356,56.454116411,54.9699661217
2021-01-16,NETZ,84.4480889364,78.9914710658,88.4605700869,86.6497059106,81.531202539,89.8212981724
2021-01-17,NETZ,89.3525347978,84.3208257239,93.2070914485,91.3646664057,86.9448231157,94.1764017295
2021-01-18,NETZ,91.1020638579,90.2070961228,91.6538575906,91.9482591134,91.1438721576,92.3985211975
2021-01-19,NETZ,91.4952312451,90.6935573282,91.9875298035,93.0762987395,92.1908977566,93.5705359101
2021-01-20,NETZ,94.4003185728,93.598632123,94.9083283959,94.9373223492,93.9852986452,95.4876676611
2021-01-21,NETZ,91.7862151306,90.1057721158,92.8634737913,92.7560863903,91.720403804,93.3542934281
2021-01-22,NETZ,93.3616419569,90.3356854602,95.288120105,93.7412941954,90.6762048163,95.5162019763
2021-01-23,NETZ,97.4127396433,96.2579386966,98.3162344046,97.788109196,96.8542833933,98.4008285234
2021-01-24,NETZ,98.1257997127,97.1058241311,98.9224211397,98.5364298161,97.5001674665,99.217064507
2021-01-25,NETZ,85.4338751294,78.7957509754,89.6070697639,87.1125080811,81.1681946569,90.441415868
2021-01-26,NETZ,94.1258679295,92.0394620514,95.4326281937,94.926538793,93.0608069426,95.9858884206
2021-01-27,NETZ,86.098289362,80.3955067613,89.6484946484,86.9751868727,81.9411479059,89.8033979802
2021-01-28,NETZ,87.4770345789,80.7034143141,91.7681308733,89.0965449017,83.287100675,92.3597718522
2021-01-29,NETZ,89.8359459927,85.6455186428,92.471640419,91.1533739177,87.8503720121,93.0110822763
2021-01-30,NETZ,96.1794312078,95.3934920777,96.7922501841,97.6824232846,96.6101474938,98.3976322495
2021-01-31,NETZ,97.3786288028,96.0533198271,98.4171618559,98.1017423433,96.8183038579,98.9541850038
2021-02-01,NETZ,93.3795095435,91.5927085357,94.5009432996,94.0541800489,92.6453653368,94.8551790487
2021-02-02,NETZ,93.9193847497,92.5385251004,94.7841716832,94.5726757022,93.2906977396,95.3018832066
2021-02-03,NETZ,90.0096272731,85.9355585201,92.5689656738,90.8953890298,87.1590415594,93.0040810469
2021-02-04,NETZ,91.499712748,90.9003988131,91.8748713104,92.5726319244,91.8934567754,92.9605588541
2021-02-05,NETZ,93.2905844953,92.2892066989,93.9157731558,94.004432606,92.739761753,94.7267284971
2021-02-06,NETZ,97.4440591332,96.2109971903,98.412833795,97.8913969799,96.7645907729,98.643143246
2021-02-07,NETZ,96.5880978364,95.1130410085,97.7335114359,97.0447238214,95.5364351464,98.0409324301
2021-02-08,NETZ,95.4724100969,93.940767817,96.4381717479,96.0211869348,94.6474101614,96.8073216463
2021-02-09,NETZ,93.4061905819,91.5424197408,94.5785900542,94.0280181069,92.3563057553,94.9820612901
2021-02-10,NETZ,88.5823913268,85.3274773947,90.6159740449,89.6966128388,86.3920896039,91.5760975472
2021-02-11,NETZ,83.0129505452,81.8630623981,83.7385392232,84.4229998418,83.3580328107,85.0367181637
2021-02-12,NETZ,90.693441714,87.3152587756,92.7930497026,92.4401648836,88.8506524774,94.4619102368
2021-02-13,NETZ,94.8311899009,91.4178099139,97.5271705503,96.0542208881,93.1168787894,98.0089550561
2021-02-14,NETZ,95.0331970167,92.4038025996,97.1018549178,96.1493369501,93.7032035862,97.7776720975
2021-02-15,NETZ,93.306488258,91.6891006611,94.3149024999,93.9721377704,92.1256343485,95.0236328221
2021-02-16,NETZ,92.9808218696,90.2886702121,94.6623599649,93.6564468817,90.8859084977,95.2328560994
2021-02-17,NETZ,95.3566221799,93.349987321,96.6174858608,95.898322909,93.9874626111,96.9867113504
2021-02-18,NETZ,94.7260532611,92.4971380944,96.114164757,95.7550942133,93.8423028643,96.8308284208
2021-02-19,NETZ,96.0319117412,95.0914827671,96.6162190156,96.7236091256,95.6404454031,97.3383378909
2021-02-20,NETZ,96.7919947148,95.8660632758,97.5261845521,97.9516967911,96.9847744591,98.6048414246
2021-02-21,NETZ,97.4586427893,95.8741067291,98.7146147132,97.8692090543,96.3121276876,98.9148764471
2021-02-22,NETZ,94.1853220315,91.9449380744,95.5911588779,95.5787838995,93.8017626441,96.5835677815
2021-02-23,NETZ,92.1035350638,90.5192907219,93.0668926515,94.654517752,93.3430093093,95.3762400268
2021-02-24,NETZ,96.0523396043,94.7510487176,96.8642487288,96.6203432189,95.471795985,97.2710539591
2021-02-25,NETZ,95.0789858427,94.0560549048,95.720333092,95.6367165126,94.8426380679,96.0892386075
2021-02-26,NETZ,95.6143516954,93.3852236626,97.0065382354,96.2289848271,94.171705236,97.3957201543
2021-02-27,NETZ,96.9641503189,94.4843793653,98.9316368321,97.6357208643,95.6985446056,98.9109789932
2021-02-28,NETZ,97.7656682537,97.0111826491,98.3632441972,98.4352530423,97.4122715232,99.1196324359
2021-03-01,NETZ,93.7037700108,90.6026489518,95.6384351363,94.3357975193,91.3215582258,96.0346670781
2021-03-02,NETZ,95.8713971559,93.467740345,97.360933779,96.2165973373,93.8157456104,97.5677737411
2021-03-03,NETZ,96.5417375469,94.5420037016,97.7843340445,96.9327252486,94.7435769698,98.1707343136
2021-03-04,NETZ,95.9674405022,94.6183998501,96.8069531314,96.3407075734,95.2013787217,96.9828115103
2021-03-05,NETZ,96.6501633673,95.0601502127,97.6402671002,97.0448164407,95.6880971423,97.8115142873
2021-03-06,NETZ,96.5495129992,94.4145078109,98.2443339828,97.3808130759,95.0819338808,98.9312283834
2021-03-07,NETZ,96.9722527117,95.9268925313,97.8028861676,97.5246367434,96.3947175909,98.2873462255
